feature,p_value,p_adj
C18-neg_Cluster_2083: NA,5.282482479973079e-21,4.2949450686373706e-17
C18-neg_Cluster_2129: NA,9.708284513194779e-21,4.2949450686373706e-17
HILIC-pos_Cluster_2135: NA,1.6156305907463313e-20,4.76503315564118e-17
C18-neg_Cluster_0450: NA,3.222934316989958e-20,5.393723756498065e-17
C18-neg_Cluster_2037: NA,3.6575884424715626e-20,5.393723756498065e-17
C18-neg_Cluster_2096: NA,3.116092272176745e-20,5.393723756498065e-17
HILIC-neg_Cluster_1831: NA,4.3972906706140856e-20,5.558175407656204e-17
C18-neg_Cluster_2109: NA,5.553810253937452e-20,6.142514140854822e-17
C18-neg_Cluster_2021: urobilin,9.907091736097668e-20,9.739771964554685e-17
C18-neg_Cluster_2156: NA,1.7380560794631772e-19,1.4619908192276174e-16
HILIC-pos_Cluster_2146: NA,1.8175744814086564e-19,1.4619908192276174e-16
C18-neg_Cluster_2128: NA,2.1531695198683318e-19,1.4646668283901223e-16
HILIC-pos_Cluster_0971: NA,2.3175108044147504e-19,1.4646668283901223e-16
HILIC-pos_Cluster_2231: NA,2.0941201490400978e-19,1.4646668283901223e-16
C18-neg_Cluster_2161: NA,3.5776496090181303e-19,2.017427818743887e-16
HILIC-pos_Cluster_2093: urobilin*,3.6481515709654375e-19,2.017427818743887e-16
C18-neg_Cluster_2081: NA,4.76480487104754e-19,2.4799407940605077e-16
C8-pos_Cluster_1293: NA,5.424867594720397e-19,2.666623804338115e-16
C18-neg_Cluster_0358: NA,5.933275986925942e-19,2.7630329438063545e-16
HILIC-pos_Cluster_2153: NA,7.096969128239439e-19,3.1396991423331276e-16
HILIC-pos_Cluster_1196: NA,7.80761241543285e-19,3.2896073643690407e-16
C18-neg_Cluster_0774: NA,9.807387904215038e-19,3.9443530989315753e-16
C18-neg_Cluster_0500: NA,1.2465852229131071e-18,4.522644572516077e-16
C18-neg_Cluster_2127: NA,1.2778719972073002e-18,4.522644572516077e-16
HILIC-pos_Cluster_0972: NA,1.213701191700653e-18,4.522644572516077e-16
C18-neg_Cluster_2130: NA,1.4355754907178255e-18,4.885373823796662e-16
C18-neg_Cluster_0449: NA,1.8521492631915876e-18,5.852753705802214e-16
C18-neg_Cluster_2080: NA,1.8463630407347068e-18,5.852753705802214e-16
HILIC-neg_Cluster_1813: NA,1.9182850075527146e-18,5.852753705802214e-16
C18-neg_Cluster_2105: NA,2.2835912565749422e-18,6.735071812725029e-16
C18-neg_Cluster_0404: NA,2.6431952839119805e-18,6.959193920992911e-16
C18-neg_Cluster_0452: NA,2.6741929624068597e-18,6.959193920992911e-16
HILIC-pos_Cluster_2142: NA,2.574386616682475e-18,6.959193920992911e-16
HILIC-pos_Cluster_2196: NA,2.644645655148779e-18,6.959193920992911e-16
C18-neg_Cluster_0357: NA,3.426396147308113e-18,8.66192946039491e-16
C18-neg_Cluster_2149: NA,4.075584437834157e-18,1.0016880862765726e-15
C18-neg_Cluster_0197: NA,4.6768405031764184e-18,1.1183968857325662e-15
C18-neg_Cluster_1838: NA,7.870220325276492e-18,1.8325186694222737e-15
C18-neg_Cluster_2084: NA,1.0163393578262233e-17,2.3057873430888263e-15
C18-neg_Cluster_0528: NA,1.1833004346342376e-17,2.6174605614109334e-15
C18-neg_Cluster_0772: NA,1.3717268101537218e-17,2.960253369814666e-15
HILIC-pos_Cluster_0493: NA,1.895626731068013e-17,3.9934536467832804e-15
HILIC-pos_Cluster_1963: NA,2.1799536472366144e-17,4.485634853662689e-15
C18-neg_Cluster_0451: NA,2.4302849013064626e-17,4.7784801792799075e-15
HILIC-pos_Cluster_0155: NA,2.3960090297951572e-17,4.7784801792799075e-15
HILIC-pos_Cluster_0242: NA,2.623100149278375e-17,5.045476113220666e-15
C18-neg_Cluster_0063: NA,3.919610871462142e-17,7.378875955467453e-15
HILIC-pos_Cluster_1361: NA,4.604479024224996e-17,8.487589667988077e-15
HILIC-pos_Cluster_1191: NA,5.255185351611774e-17,9.489363263481832e-15
C18-neg_Cluster_0431: NA,5.953444805507698e-17,1.0535215927826422e-14
C18-neg_Cluster_2038: NA,6.494848232806435e-17,1.126792493409242e-14
C18-neg_Cluster_0136: NA,6.836266807998356e-17,1.1632170907147972e-14
C8-pos_Cluster_1203: NA,7.696110364798195e-17,1.2848148020327252e-14
HILIC-pos_Cluster_2090: NA,8.759422078178756e-17,1.4352475286615857e-14
HILIC-pos_Cluster_2167: NA,9.423794681910318e-17,1.5108071850810166e-14
HILIC-pos_Cluster_2192: NA,9.562070791652003e-17,1.5108071850810166e-14
C18-neg_Cluster_0586: NA,1.0833502068688002e-16,1.6816636193640605e-14
HILIC-neg_Cluster_1133: NA,1.1334997907714827e-16,1.729173473921738e-14
HILIC-pos_Cluster_1362: NA,1.189287871591162e-16,1.7835286589556955e-14
HILIC-pos_Cluster_1275: NA,1.2456986792550097e-16,1.8369903190080544e-14
HILIC-neg_Cluster_0479: NA,1.4367035269645229e-16,2.0839266896036225e-14
HILIC-pos_Cluster_0649: NA,1.79839463484908e-16,2.5664831821201065e-14
C18-neg_Cluster_0388: NA,2.5753611304855775e-16,3.560436762896311e-14
C18-neg_Cluster_0485: NA,2.556514941292785e-16,3.560436762896311e-14
C18-neg_Cluster_0579: NA,2.6384067883921207e-16,3.59148050210669e-14
C18-neg_Cluster_0546: NA,2.87814037218689e-16,3.744968531339648e-14
C18-neg_Cluster_0734: NA,2.8437005109358645e-16,3.744968531339648e-14
C18-neg_Cluster_1371: NA,2.8415434476948207e-16,3.744968531339648e-14
C18-neg_Cluster_0792: NA,2.976918251511277e-16,3.817358360778518e-14
HILIC-pos_Cluster_1134: NA,3.3662058731556923e-16,4.254884223668795e-14
C18-neg_Cluster_0894: NA,3.80516635853174e-16,4.7419875972237793e-14
C18-neg_Cluster_0556: NA,4.0451407996203143e-16,4.9710285826445195e-14
C18-neg_Cluster_0658: NA,4.1749191433800026e-16,5.060230764469351e-14
HILIC-pos_Cluster_2099: NA,4.627044050411929e-16,5.5324440213573986e-14
C8-pos_Cluster_0246: NA,4.8656539244917505e-16,5.740174123187068e-14
C18-neg_Cluster_0631: NA,4.935347698020711e-16,5.745783741064112e-14
C18-neg_Cluster_2005: NA,5.087389707294696e-16,5.770926170531214e-14
HILIC-pos_Cluster_1133: NA,5.025154841144994e-16,5.770926170531214e-14
HILIC-pos_Cluster_1205: NA,5.162795255641653e-16,5.782330686318651e-14
HILIC-pos_Cluster_2075: NA,5.474313071318133e-16,6.054590256877856e-14
C18-neg_Cluster_0396: NA,5.577299377231236e-16,6.092338875276787e-14
HILIC-pos_Cluster_2098: NA,6.603139668645461e-16,7.124948754655493e-14
C18-neg_Cluster_0527: NA,6.914306643238392e-16,7.370817491490758e-14
HILIC-pos_Cluster_1049: NA,7.188570258665823e-16,7.571960672461333e-14
HILIC-pos_Cluster_1953: NA,7.415962648163026e-16,7.71958088364076e-14
C18-neg_Cluster_1747: NA,7.737325396145686e-16,7.960448268034537e-14
HILIC-pos_Cluster_0412: NA,8.329115050653426e-16,8.470805743469139e-14
C8-pos_Cluster_1365: NA,8.825321654324135e-16,8.821503712701781e-14
HILIC-pos_Cluster_0276: NA,8.873347993110968e-16,8.821503712701781e-14
C18-neg_Cluster_0263: NA,9.157226722071787e-16,8.903641982075952e-14
HILIC-neg_Cluster_0624: NA,9.088914206004235e-16,8.903641982075952e-14
HILIC-pos_Cluster_1959: NA,9.473524662708972e-16,9.111059371266194e-14
HILIC-pos_Cluster_1206: NA,9.60056896538649e-16,9.133960667283835e-14
HILIC-pos_Cluster_0176: NA,1.168541813301284e-15,1.099921060009549e-13
C8-pos_Cluster_0245: NA,1.2202103679819592e-15,1.1130331274128222e-13
C8-pos_Cluster_0995: NA,1.202990961737907e-15,1.1130331274128222e-13
HILIC-pos_Cluster_1055: NA,1.21988553034734e-15,1.1130331274128222e-13
HILIC-pos_Cluster_2184: NA,1.3140724861294934e-15,1.186419730334057e-13
C18-neg_Cluster_0526: NA,1.5056398571708075e-15,1.345646611742152e-13
C18-neg_Cluster_0634: NA,1.6074893044049732e-15,1.4223065365375205e-13
C18-neg_Cluster_0639: NA,1.784837484259431e-15,1.5482590255615143e-13
HILIC-pos_Cluster_1346: NA,1.7699958551277749e-15,1.5482590255615143e-13
HILIC-pos_Cluster_1240: NA,1.9061626747411626e-15,1.6374492569038646e-13
C18-neg_Cluster_0159: NA,2.013311029696022e-15,1.7128630760336927e-13
C18-neg_Cluster_0483: NA,2.1279923158825216e-15,1.7931881915170048e-13
HILIC-pos_Cluster_1689: NA,2.3673189024418043e-15,1.9760412876231214e-13
C18-neg_Cluster_0001: NA,2.471583646590263e-15,2.0248677875028378e-13
HILIC-pos_Cluster_2368: NA,2.4688868905814867e-15,2.0248677875028378e-13
HILIC-pos_Cluster_1090: NA,2.5113574438995e-15,2.0385771251030067e-13
HILIC-neg_Cluster_0487: NA,2.8985165601667828e-15,2.331461320395972e-13
C18-neg_Cluster_0274: NA,2.952101842909454e-15,2.3321604558984686e-13
C18-neg_Cluster_0965: NA,2.9284953954277233e-15,2.3321604558984686e-13
C18-neg_Cluster_1467: NA,2.9786778707780643e-15,2.3323311328003817e-13
C18-neg_Cluster_0360: NA,3.0535970707228817e-15,2.3581882171424224e-13
HILIC-pos_Cluster_0384: N-acetylglutamic acid,3.0650050290616923e-15,2.3581882171424224e-13
