Compound,Compound.Name,max_importance,n_models
C18-neg_Cluster_2021: urobilin,urobilin,86.17654899272632,1
HILIC-pos_Cluster_2093: urobilin*,urobilin*,84.67744392398798,1
HILIC-pos_Cluster_0384: N-acetylglutamic acid,N-acetylglutamic acid,82.07585970524393,1
HILIC-pos_Cluster_0495: N-acetylglutamic acid,N-acetylglutamic acid,75.53943409878518,1
HILIC-pos_Cluster_0484: NA,NA,74.89051372862639,1
HILIC-pos_Cluster_1580: C18:2 carnitine,C18:2 carnitine,73.7741345824289,1
HILIC-neg_Cluster_0372: N-acetylglutamate,N-acetylglutamate,73.70844281960471,1
"HILIC-pos_Cluster_0521: L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*","L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*",73.5450702616246,1
HILIC-pos_Cluster_0235: NA,NA,73.34780456224534,1
C8-pos_Cluster_1004: C16:0 ceramide (d18:1),C16:0 ceramide (d18:1),73.11359914695915,1
C18-neg_Cluster_1301: NA,NA,72.31482539319855,1
HILIC-pos_Cluster_1486: C16 carnitine,C16 carnitine,71.94390494687536,1
C18-neg_Cluster_1626: NA,NA,70.65653680642828,1
HILIC-pos_Cluster_1586: C18:1 carnitine,C18:1 carnitine,69.13020297802659,1
C8-pos_Cluster_0724: NA,NA,69.05594272439927,1
HILIC-neg_Cluster_1609: NA,NA,67.4846719220077,1
C8-pos_Cluster_0606: NA,NA,65.89816824707721,1
HILIC-pos_Cluster_0489: NA,NA,65.7157545984234,1
HILIC-neg_Cluster_1403: cholate,cholate,65.3467382611676,1
C18-neg_Cluster_1410: NA,NA,64.75760691572412,1
C18-neg_Cluster_1487: NA,NA,64.66468639323661,1
HILIC-neg_Cluster_0243: NA,NA,64.64793023344379,1
HILIC-pos_Cluster_1853: NA,NA,64.16333447579878,1
C18-neg_Cluster_1504: NA,NA,63.805171560226974,1
HILIC-pos_Cluster_0725: NA,NA,63.553067519707525,1
HILIC-pos_Cluster_1706: NA,NA,63.305152519136314,1
HILIC-neg_Cluster_0644: NA,NA,63.2377470581515,1
C8-pos_Cluster_0607: NA,NA,63.09684298716632,1
