Compound,Compound.Name,Putative.Chemical.Class,HMDB,KEGG
HILIC-neg_Cluster_0032: 2-aminobutyric acid,2-aminobutyric acid,L-alpha-amino acids,HMDB0000452,C02356
HILIC-pos_Cluster_0272: 3-methylhistidine,3-methylhistidine,Histidine and derivatives,HMDB0000479,C01152
C18-neg_Cluster_0090: acetytyrosine,acetytyrosine,"Amino acids, peptides, and analogues",HMDB0000866,C01657
HILIC-neg_Cluster_0034: alpha-hydroxybutyrate,alpha-hydroxybutyrate,NA,HMDB0000008,C05984
HILIC-pos_Cluster_2052: bilirubin,bilirubin,NA,HMDB0000054,C00486
HILIC-neg_Cluster_0013: butyrate / isobutytare*,butyrate / isobutytare*,Straight chain fatty acids,NA,NA
HILIC-pos_Cluster_1374: C14 carnitine,C14 carnitine,Acyl carnitines,HMDB0005066,NA
HILIC-pos_Cluster_1486: C16 carnitine,C16 carnitine,Acyl carnitines,HMDB0000222,C02990
C8-pos_Cluster_1004: C16:0 ceramide (d18:1),C16:0 ceramide (d18:1),Sphingolipids,NA,NA
HILIC-pos_Cluster_1593: C18 carnitine,C18 carnitine,Acyl carnitines,NA,NA
HILIC-pos_Cluster_1586: C18:1 carnitine,C18:1 carnitine,Fatty acid esters,NA,NA
HILIC-pos_Cluster_1580: C18:2 carnitine,C18:2 carnitine,Acyl carnitines,HMDB0006469,NA
HILIC-pos_Cluster_0453: C2 carnitine,C2 carnitine,NA,HMDB0000201,C02571
HILIC-pos_Cluster_1691: C20 carnitine,C20 carnitine,Acyl carnitines,NA,NA
HILIC-pos_Cluster_1673: C20:4 carnitine,C20:4 carnitine,NA,NA,NA
HILIC-pos_Cluster_0790: C3-DC-CH3 carnitine,C3-DC-CH3 carnitine,Acyl carnitines,NA,NA
HILIC-pos_Cluster_0625: C4 carnitine,C4 carnitine,NA,NA,NA
HILIC-pos_Cluster_0230: carnitine,carnitine,Quaternary ammonium salts,HMDB0000062,C00487
C18-neg_Cluster_1292: chenodeoxycholate,chenodeoxycholate,"Bile acids, alcohols and derivatives",HMDB0000518,C02528
C18-neg_Cluster_1045: chenodeoxycholate,chenodeoxycholate,"Bile acids, alcohols and derivatives",HMDB0000518,C02528
C18-neg_Cluster_0832: chenodeoxycholate,chenodeoxycholate,"Bile acids, alcohols and derivatives",HMDB0000518,C02528
C18-neg_Cluster_1060: chenodeoxycholate,chenodeoxycholate,"Bile acids, alcohols and derivatives",HMDB0000518,C02528
C18-neg_Cluster_1129: chenodeoxycholate,chenodeoxycholate,"Bile acids, alcohols and derivatives",HMDB0000518,C02528
HILIC-neg_Cluster_1360: chenodeoxycholate/deoxycholate*,chenodeoxycholate/deoxycholate*,"Bile acids, alcohols and derivatives",NA,NA
C18-neg_Cluster_0930: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1258: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1372: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
HILIC-neg_Cluster_1403: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1178: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1273: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1621: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_1722: cholate,cholate,"Bile acids, alcohols and derivatives",HMDB0000619,C00695
C18-neg_Cluster_0833: deoxycholic acid,deoxycholic acid,"Bile acids, alcohols and derivatives",HMDB0000626,C04483
HILIC-pos_Cluster_0657: geranyl acetoacetate*,geranyl acetoacetate*,Fatty alcohol esters,HMDB0038256,NA
HILIC-pos_Cluster_0658: geranyl acetoacetate*,geranyl acetoacetate*,Fatty alcohol esters,HMDB0038256,NA
HILIC-neg_Cluster_0166: glutamate,glutamate,Glutamic acid and derivatives,HMDB0000148,C00302
HILIC-pos_Cluster_0160: glutamate,glutamate,"Amino acids, peptides, and analogues",HMDB0000148,C00302
HILIC-neg_Cluster_0162: glutamine,glutamine,L-alpha-amino acids,HMDB0000641,C00064
HILIC-pos_Cluster_0156: glutamine,glutamine,L-alpha-amino acids,HMDB0000641,C00064
C18-neg_Cluster_1196: glycodeoxycholic acid,glycodeoxycholic acid,NA,HMDB0000631,C05464
C18-neg_Cluster_1081: glycolithocholic acid,glycolithocholic acid,NA,HMDB0000698,C15557
C18-neg_Cluster_1197: glycoursodeoxycholic acid,glycoursodeoxycholic acid,NA,HMDB0000708,NA
HILIC-pos_Cluster_0033: histamine,histamine,NA,HMDB0000870,C00388
HILIC-neg_Cluster_0201: histidine,histidine,"Amino acids, peptides, and analogues",HMDB0000177,C00135
HILIC-pos_Cluster_0121: imidazole propionate,imidazole propionate,Azoles,HMDB0002271,C20522
HILIC-pos_Cluster_0383: kynurenic acid,kynurenic acid,Quinolines and derivatives,HMDB0000715,C01717
"HILIC-pos_Cluster_0521: L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*","L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*",Pyridoindoles,HMDB0035665,NA
C18-neg_Cluster_0731: lithocholic acid,lithocholic acid,NA,HMDB0000761,C03990
HILIC-neg_Cluster_0030: methylbutyric aid / valeric / isovaleric*,methylbutyric aid / valeric / isovaleric*,Methyl-branched fatty acids,NA,NA
