feature,importance_mean,model
`d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__HGM20899`,100,RandomForest
`HILIC-neg_Cluster_0479: NA`,65.80613630952115,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524`,31.262543795383564,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Limivivens`,25.181172346524978,RandomForest
`C18-neg_Cluster_2083: NA`,15.925132970101775,RandomForest
`HILIC-pos_Cluster_0412: NA`,11.243683436052132,RandomForest
`HILIC-pos_Cluster_0972: NA`,10.95092742253243,RandomForest
`HILIC-pos_Cluster_2135: NA`,9.963085263390344,RandomForest
`C18-neg_Cluster_0063: NA`,9.945643094587384,RandomForest
`C18-neg_Cluster_1766: NA`,9.658546417193884,RandomForest
`HILIC-pos_Cluster_2090: NA`,8.566616270509732,RandomForest
`HILIC-pos_Cluster_0155: NA`,8.131920275903106,RandomForest
`HILIC-pos_Cluster_1090: NA`,6.997460540203042,RandomForest
`d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__UBA12183`,6.158964707584654,RandomForest
`C18-neg_Cluster_0072: NA`,5.441409307200006,RandomForest
`C18-neg_Cluster_1096: NA`,5.383725297778738,RandomForest
`HILIC-pos_Cluster_2146: NA`,5.230053914217546,RandomForest
`HILIC-neg_Cluster_0614: NA`,5.132250835387382,RandomForest
`C18-neg_Cluster_2096: NA`,4.997853396303004,RandomForest
`HILIC-pos_Cluster_0242: NA`,4.372839195871057,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA1038`,4.233957718895736,RandomForest
`C18-neg_Cluster_0380: NA`,4.165152738236528,RandomForest
`HILIC-pos_Cluster_1553: NA`,4.00716267046774,RandomForest
`HILIC-pos_Cluster_1989: NA`,3.896030160988062,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E`,3.759468570772958,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGTTR01`,3.490983787741555,RandomForest
`HILIC-pos_Cluster_0373: NA`,3.3743815146829204,RandomForest
`d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus`,3.35469129956667,RandomForest
`C18-neg_Cluster_0237: NA`,3.1939588045718788,RandomForest
`HILIC-pos_Cluster_0861: NA`,3.183669664198892,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1225`,3.1489055031841406,RandomForest
`C18-neg_Cluster_2005: NA`,3.079909778205269,RandomForest
`HILIC-neg_Cluster_0485: NA`,2.978028426145821,RandomForest
`HILIC-pos_Cluster_2091: NA`,2.969850899827092,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Ventricola`,2.8881709776823454,RandomForest
`HILIC-neg_Cluster_0741: NA`,2.8052144972732442,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia`,2.7039687025502017,RandomForest
`HILIC-pos_Cluster_1701: NA`,2.696505301525034,RandomForest
`HILIC-pos_Cluster_2196: NA`,2.667337375114846,RandomForest
`HILIC-neg_Cluster_0142: NA`,2.626276716525064,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia`,2.6004839102701673,RandomForest
`HILIC-pos_Cluster_0540: pantothenate`,2.5753871100930117,RandomForest
`HILIC-pos_Cluster_0133: NA`,2.5671751529587534,RandomForest
`HILIC-pos_Cluster_0176: NA`,2.563394126575909,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495`,2.5522316709153494,RandomForest
`C18-neg_Cluster_1255: NA`,2.5069595828393276,RandomForest
`C18-neg_Cluster_2081: NA`,2.4281355451791056,RandomForest
`C18-neg_Cluster_0136: NA`,2.41322071346704,RandomForest
`HILIC-neg_Cluster_1478: NA`,2.400574880291507,RandomForest
`d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A`,2.3551224807997344,RandomForest
`HILIC-neg_Cluster_0823: NA`,2.343403515597722,RandomForest
`C18-neg_Cluster_2038: NA`,2.2723309491756125,RandomForest
`HILIC-pos_Cluster_0449: NA`,2.208019069074128,RandomForest
`C18-neg_Cluster_0145: NA`,2.0978362272998368,RandomForest
`HILIC-neg_Cluster_0686: NA`,2.041282130518654,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448`,2.010169240089393,RandomForest
`C18-neg_Cluster_0894: NA`,1.9652179468836108,RandomForest
`C18-neg_Cluster_2056: NA`,1.957747483376136,RandomForest
`HILIC-pos_Cluster_1948: NA`,1.9527618397673208,RandomForest
`C18-neg_Cluster_1373: NA`,1.9408727031268853,RandomForest
`HILIC-pos_Cluster_1631: NA`,1.866216341167408,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor`,1.8518448121555624,RandomForest
`C18-neg_Cluster_1718: NA`,1.8331553336061186,RandomForest
`C8-pos_Cluster_2438: NA`,1.7943056431727715,RandomForest
`C18-neg_Cluster_2140: NA`,1.7391005919041662,RandomForest
`C18-neg_Cluster_0197: NA`,1.7085749921397004,RandomForest
`HILIC-neg_Cluster_0314: NA`,1.6904466695182208,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1762`,1.6878730004008444,RandomForest
`C8-pos_Cluster_1872: NA`,1.6378434396908756,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615`,1.6372048742332932,RandomForest
`C8-pos_Cluster_1140: NA`,1.6318626211606,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladousia`,1.621155455950778,RandomForest
`C18-neg_Cluster_0268: hexadecanedioic acid`,1.6166279855908965,RandomForest
`d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Alloscillospira`,1.6144482094310526,RandomForest
`C8-pos_Cluster_0842: NA`,1.6071258395418668,RandomForest
